Feature,Importance
log_total_review_count,0.09815327622483301
general_promo_shares,0.09459195673957094
log_max_review_count,0.0754942597164915
type,0.04020872820766896
likes,0.03217430051965016
collab,0.02576361485356972
general_promo_likes,0.007090168779905807
avg_movie_rating,0.0053649477069720635
total_engagement,-0.0005703646160560368
month,-0.0009002236781256186
num_shares,-0.0009098269171977424
days_from_event,-0.007158855072315044
num_comments,-0.010334402666053122
engagement_per_post,-0.013330996795896404
num_posts,-0.013606611031950626
primary_genre,-0.015190326497308755
avg_movie_age,-0.016637286998639037
day_of_week,-0.02307562908973223
double_feature,-0.06389246080156295
